Datetime,German,UK,EURGBP,german_gbp,uk_ret,german_ret,uk_pred,residual,uk_pred_price,uk_actual_price,signal,uk_chg,balance,daily_pnl
2021-11-25,284.71543480548775,346.1316769524901,0.82074200132089,233.6779157692034,0.00833247831627415,0.021191210166715102,0.019140583113761944,-0.010808104797487793,352.75683908350504,346.1316769524901,0,,1000.0,0.0
2021-11-26,283.22084651394124,353.42821379516045,0.8212106864417401,232.5839857803244,0.021080234282260912,-0.004681358036244365,-0.0038782463939354044,0.024958480676196316,351.38876114439336,353.42821379516045,-1,7.296536842670321,1000.0,0.0
2021-11-29,281.56450067051196,342.348369563864,0.8224020748462686,231.5592295544826,-0.031349631406954015,-0.004405962097535299,-0.0036332265678969853,-0.02771640483905703,350.1120861617431,342.348369563864,1,-11.07984423129642,1055.7921538153537,55.79215381535357
2021-11-30,277.239597469408,336.14884940677723,0.8229069343519247,228.14238723451217,-0.018108805848804477,-0.01475580276607591,-0.012841482041882638,-0.005267323806921839,345.616128094651,336.14884940677723,0,-6.199520157086795,1024.5746948903827,-31.217458924970867
2021-12-01,269.36593567280926,325.50955397281575,0.8202682122883908,220.9523145057249,-0.03165054841846793,-0.03151572496432431,-0.027752788434713887,-0.0038977599837540407,336.02431681201523,325.50955397281575,0,-10.639295433961479,1024.5746948903827,0.0
2021-12-02,264.8686675184039,314.8956478856583,0.8208015422856892,217.40461080226137,-0.03260704934038228,-0.016056422452056296,-0.013998643656882758,-0.01860840568349952,331.32043214091635,314.8956478856583,0,-10.613906087157432,1024.5746948903827,0.0
2021-12-03,265.0944945546421,316.9597075337049,0.8245904490901508,218.59438831613886,0.00655474174351256,0.005472641585139382,0.0051557692581760085,0.0013989724853365514,333.0286438395541,316.9597075337049,0,2.064059648046566,1024.5746948903827,0.0
2021-12-06,267.530767994212,327.6802442463828,0.8257564766258757,220.91526436791509,0.03382302689542316,0.010617271878085477,0.009732947938872857,0.0240900789565503,336.26999429219785,327.6802442463828,-1,10.720536712677927,1024.5746948903827,0.0
2021-12-07,262.2078595459593,320.6084712017294,0.828262292337291,217.17688281639067,-0.02158132255094436,-0.0169222419384224,-0.014768963440553238,-0.006812359110391122,331.30363504034136,320.6084712017294,0,-7.071773044653412,1060.1843515983821,35.60965670799953
2021-12-08,265.2159198568456,316.41086342001455,0.827644210744575,219.5044206668154,-0.013092629043708892,0.010717244949097537,0.009821894001704157,-0.022914523045413047,334.55766422608684,316.41086342001455,1,-4.197607781714851,1060.1843515983821,0.0
2021-12-09,263.4635343089835,322.0333576333816,0.829601386839579,218.56971344438972,0.01776959916165577,-0.004258261494626048,-0.0035018173096478073,0.021271416471303577,333.3861044064246,322.0333576333816,-1,5.6224942133670766,1088.4962173096392,28.311865711257138
2021-12-10,264.97140578640403,318.9136548287792,0.8303314343859045,220.01408743787442,-0.009687514447351275,0.006608298884246855,0.006166163802013244,-0.015853678249364518,335.4418177355097,318.9136548287792,0,-3.1197028046024116,1104.2053676459705,15.709150336331218
2021-12-13,269.3655382548372,329.4179878648546,0.8278482398224717,222.99378671309964,0.032937859125897306,0.0135432203906789,0.012336164961293713,0.02060169416460359,339.57988333401113,329.4179878648546,-1,10.504333036075366,1104.2053676459705,0.0
2021-12-14,272.95928596309415,336.29975225158984,0.828679192728978,226.19568073977513,0.0208906757986711,0.014358669243080824,0.013061669981067522,0.007829005817603577,344.01536370232935,336.29975225158984,0,6.881764386735256,1069.5524926442404,-34.65287500173015
2021-12-15,272.9935112908896,333.61444546006385,0.8260948094267355,225.51852268458282,-0.00798486104597862,-0.002993682518506402,-0.002376721121980326,-0.0056081399239982935,343.1977351211323,333.61444546006385,0,-2.6853067915259885,1069.5524926442404,0.0
2021-12-16,270.5659839445625,329.449670781921,0.8244497242041784,223.06805084212672,-0.012483795995103075,-0.010865944904593916,-0.009380674663959171,-0.0031031213311439043,339.9783088225533,329.449670781921,0,-4.164774678142862,1069.5524926442404,0.0
2021-12-17,265.2751188695498,321.1510672545764,0.8249415133740349,218.83645802072337,-0.025189290696963074,-0.01896996367444037,-0.016590821910529633,-0.00859846878643344,334.3377892474353,321.1510672545764,0,-8.298603527344596,1069.5524926442404,0.0
2021-12-20,262.45526501485836,313.34324604707354,0.8257142112267029,216.71304213403903,-0.02431198897842557,-0.009703208989442103,-0.008346188269589766,-0.015965800708835805,331.5473431127378,313.34324604707354,0,-7.807821207502855,1069.5524926442404,0.0
2021-12-21,262.5589338791076,317.4258823871823,0.8226270939469267,215.98809276677355,0.013029278248733789,-0.0033452041470447558,-0.002689469990670792,0.01571874823940458,330.65565648294944,317.4258823871823,0,4.082636340108763,1069.5524926442404,0.0
2021-12-22,259.2372854460839,313.7180254336206,0.8253625425784201,213.96474504690747,-0.011681016449184844,-0.009367866968717165,-0.008047834401458844,-0.0036331820477260007,327.994594515669,313.7180254336206,0,-3.707856953561702,1069.5524926442404,0.0
2021-12-23,259.8266470368595,310.7510982487938,0.8268508977029524,214.83789634957546,-0.009457305428101859,0.004080818559508925,0.0039174640122279,-0.013374769440329759,329.27950153588944,310.7510982487938,0,-2.9669271848267726,1069.5524926442404,0.0
2021-12-24,260.08236613455574,317.58765168279444,0.8250175838410936,214.57252530800585,0.022000094199271736,-0.001235215230081188,-0.0008122123963837406,0.022812306595655477,329.0120566428669,317.58765168279444,-1,6.836553434000621,1069.5524926442404,0.0
2021-12-27,259.04024694681107,317.4456532513331,0.821031735143202,212.68026342266384,-0.0004471157197357689,-0.008818751993647789,-0.0075592866897631955,0.0071121709700274266,326.5249601823149,317.4456532513331,0,-0.14199843146133162,1070.2675205962807,0.715027952040313
2021-12-28,257.99690888625,315.5350175198611,0.8206570964032318,211.7269941275991,-0.006018780575203775,-0.004482170934546392,-0.003701029586614609,-0.0023177509885891658,325.316481643912,315.5350175198611,0,-1.9106357314719844,1070.2675205962807,0.0
2021-12-29,258.1559503140984,314.81582314357206,0.8195052182476431,211.56014840408292,-0.002279285455991542,-0.0007880229169816566,-0.0004143452990148196,-0.0018649401569767225,325.18168828905084,314.81582314357206,0,-0.7191943762890673,1070.2675205962807,0.0
2021-12-30,258.4550534503983,317.08397566802347,0.8197973083028127,211.8807571358961,0.00720469670743662,0.001515449550549608,0.0016350546519228674,0.005569642055513752,325.71337812120794,317.08397566802347,0,2.268152524451409,1070.2675205962807,0.0
2021-12-31,254.52417843434543,312.4231665662567,0.8188602339133987,208.41972828936372,-0.01469897396091202,-0.016334795539325597,-0.014246312252637023,-0.0004526617082749977,321.073163631632,312.4231665662567,0,-4.660809101766745,1070.2675205962807,0.0
2022-01-03,259.60503122216153,314.41880749447,0.8136990009704685,211.24035455238013,0.006387621475534955,0.01353339382105112,0.012327422260177497,-0.005939800784642542,325.03116809613016,314.41880749447,0,1.9956409282132768,1070.2675205962807,0.0
2022-01-04,260.4324358153548,325.7781328667149,0.8127043108151236,211.65456326322183,0.03612800857163956,0.0019608408238067643,0.0020313193637557653,0.03409668920788379,325.691410201708,325.7781328667149,-1,11.359325372244882,1070.2675205962807,0.0
